equal,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-240,27.346857,33.102132,14,10
240-480,49.856909,22.656547,33,35
480-720,52.558292,21.880984,47,61
720-960,52.797405,22.431876,58,105
960-1200,53.887566,21.774391,75,107
1200-1440,60.325234,19.330398,106,126
1440-1680,68.553145,17.634527,139,152
1680-1920,73.79628,16.235358,176,180
1920-2160,82.213552,14.093725,216,200
2160-2400,93.022162,11.507671,258,180
SUM,,,,1156
0-240,48.831141,25.207289,15,11
240-480,54.847153,21.805403,24,31
480-720,44.420574,23.258155,37,45
720-960,53.884574,22.191158,69,87
960-1200,55.54386,21.21099,91,127
1200-1440,60.15215,19.827025,118,159
1440-1680,60.573905,19.043825,128,174
1680-1920,75.749787,16.160817,172,176
1920-2160,89.582716,12.980009,226,189
2160-2400,81.433506,11.685953,288,140
SUM,,,,1139
0-240,35.370715,29.414199,13,14
240-480,51.140718,23.571529,22,34
480-720,46.509028,23.357989,35,48
720-960,54.378133,22.62625,57,93
960-1200,49.801147,22.919746,82,117
1200-1440,59.83997,19.545594,112,143
1440-1680,71.852287,16.971981,140,148
1680-1920,73.331897,16.272714,182,184
1920-2160,89.261342,13.013793,236,203
2160-2400,76.216764,11.598163,270,130
SUM,,,,1114
0-240,40.062088,26.787458,14,8
240-480,49.855212,23.733874,27,36
480-720,43.327222,24.197286,35,57
720-960,53.201109,22.868054,58,97
960-1200,48.381604,23.693283,81,125
1200-1440,56.290123,20.589664,104,150
1440-1680,72.318495,16.629431,142,137
1680-1920,78.491159,15.484903,184,179
1920-2160,83.593575,13.926525,223,208
2160-2400,85.065566,12.100999,248,178
SUM,,,,1175
0-240,34.633803,29.18781,16,9
240-480,50.965839,22.916439,29,41
480-720,49.25806,22.846144,40,58
720-960,58.522768,20.730267,71,90
960-1200,55.984883,21.396603,76,126
1200-1440,52.083228,21.70847,90,144
1440-1680,57.57326,20.381571,132,158
1680-1920,73.854556,16.797224,162,183
1920-2160,77.13827,15.200752,203,202
2160-2400,89.371596,13.163148,238,218
2400-2640,73.843465,11.365128,300,120
SUM,,,,1349